"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"454","sa.APARC.paracn~pt_m_INT",-1.105385e-02,0.03882250,-0.284727993,0.775995952,-0.087369289, 0.065261583,"sa.APARC.paracn","pt_m_INT",0.93649670,FALSE
"455","sa.APARC.parsopc~pt_m_INT", 3.031226e-02,0.03950245, 0.767351330,0.443313244,-0.047339786, 0.107964296,"sa.APARC.parsopc","pt_m_INT",0.91483472,FALSE
"456","sa.APARC.parsobis~pt_m_INT", 3.883873e-02,0.03641273, 1.066625130,0.286767291,-0.032739688, 0.110417151,"sa.APARC.parsobis","pt_m_INT",0.91483472,FALSE
"457","sa.APARC.parstgris~pt_m_INT", 7.988071e-02,0.04255736, 1.877012761,0.061224500,-0.003776537, 0.163537955,"sa.APARC.parstgris","pt_m_INT",0.91483472,FALSE
"458","sa.APARC.pericc~pt_m_INT",-3.574228e-03,0.04526891,-0.078955475,0.937106465,-0.092561711, 0.085413254,"sa.APARC.pericc","pt_m_INT",0.96325651,FALSE
"459","sa.APARC.postcn~pt_m_INT",-1.270689e-02,0.03726777,-0.340962029,0.733306395,-0.085966104, 0.060552318,"sa.APARC.postcn","pt_m_INT",0.93649670,FALSE
"460","sa.APARC.ptcate~pt_m_INT", 3.720947e-02,0.03758526, 0.990001704,0.322755755,-0.036673853, 0.111092795,"sa.APARC.ptcate","pt_m_INT",0.91483472,FALSE
"461","sa.APARC.precn~pt_m_INT", 2.444959e-02,0.03661910, 0.667673333,0.504716860,-0.047534493, 0.096433682,"sa.APARC.precn","pt_m_INT",0.91483472,FALSE
"462","sa.APARC.pc~pt_m_INT", 3.313679e-02,0.03673486, 0.902053052,0.367557008,-0.039074858, 0.105348444,"sa.APARC.pc","pt_m_INT",0.91483472,FALSE
"463","sa.APARC.rracate~pt_m_INT", 1.583611e-03,0.03435499, 0.046095510,0.963256513,-0.065949798, 0.069117020,"sa.APARC.rracate","pt_m_INT",0.96325651,FALSE
"464","sa.APARC.rrmdfr~pt_m_INT", 7.465721e-03,0.03504186, 0.213051500,0.831392428,-0.061417911, 0.076349353,"sa.APARC.rrmdfr","pt_m_INT",0.93649670,FALSE
"465","sa.APARC.sufr~pt_m_INT", 6.004713e-03,0.03258020, 0.184305575,0.853864642,-0.058039906, 0.070049332,"sa.APARC.sufr","pt_m_INT",0.93649670,FALSE
"466","sa.APARC.supl~pt_m_INT", 9.782250e-03,0.03683953, 0.265536809,0.790729096,-0.062635148, 0.082199649,"sa.APARC.supl","pt_m_INT",0.93649670,FALSE
"467","sa.APARC.sutm~pt_m_INT", 2.603493e-02,0.03226217, 0.806980055,0.420144710,-0.037384525, 0.089454388,"sa.APARC.sutm","pt_m_INT",0.91483472,FALSE
"468","sa.APARC.sm~pt_m_INT",-2.275995e-02,0.03635645,-0.626022216,0.531647867,-0.094227738, 0.048707845,"sa.APARC.sm","pt_m_INT",0.91483472,FALSE
"469","sa.APARC.frpole~pt_m_INT",-1.243265e-02,0.04062808,-0.306011165,0.759751089,-0.092297407, 0.067432114,"sa.APARC.frpole","pt_m_INT",0.93649670,FALSE
"470","sa.APARC.tmpole~pt_m_INT",-5.987339e-02,0.04153640,-1.441467972,0.150213991,-0.141523681, 0.021776900,"sa.APARC.tmpole","pt_m_INT",0.91483472,FALSE
"471","sa.APARC.trvtm~pt_m_INT",-4.423892e-03,0.04068656,-0.108731062,0.913468868,-0.084403598, 0.075555813,"sa.APARC.trvtm","pt_m_INT",0.96325651,FALSE
"472","sa.APARC.insula~pt_m_INT", 1.609206e-02,0.03921803, 0.410322918,0.681782894,-0.061000886, 0.093184996,"sa.APARC.insula","pt_m_INT",0.93649670,FALSE
"473","vol.APARC.bankssts~pt_m_INT", 2.454793e-02,0.03866007, 0.634968465,0.525802302,-0.051448211, 0.100544063,"vol.APARC.bankssts","pt_m_INT",0.98506877,FALSE
"474","vol.APARC.cdacate~pt_m_INT", 4.288885e-03,0.03465624, 0.123755055,0.901569718,-0.063836711, 0.072414480,"vol.APARC.cdacate","pt_m_INT",0.98688622,FALSE
"475","vol.APARC.cdmdfr~pt_m_INT",-3.306663e-02,0.03925020,-0.842457562,0.400021851,-0.110222821, 0.044089561,"vol.APARC.cdmdfr","pt_m_INT",0.98506877,FALSE
"476","vol.APARC.cuneus~pt_m_INT",-1.441260e-02,0.03910570,-0.368554981,0.712649219,-0.091284744, 0.062459540,"vol.APARC.cuneus","pt_m_INT",0.98506877,FALSE
"477","vol.APARC.ehinal~pt_m_INT",-7.173540e-02,0.03975371,-1.804495871,0.071885491,-0.149881357, 0.006410556,"vol.APARC.ehinal","pt_m_INT",0.98506877,FALSE
"478","vol.APARC.fusiform~pt_m_INT", 3.427177e-02,0.03622671, 0.946035853,0.344686145,-0.036940986, 0.105484519,"vol.APARC.fusiform","pt_m_INT",0.98506877,FALSE
"479","vol.APARC.ifpl~pt_m_INT",-1.812085e-02,0.03678531,-0.492611023,0.622550508,-0.090431667, 0.054189970,"vol.APARC.ifpl","pt_m_INT",0.98506877,FALSE
"480","vol.APARC.iftm~pt_m_INT",-1.063821e-02,0.03799704,-0.279974609,0.779637839,-0.085330992, 0.064054579,"vol.APARC.iftm","pt_m_INT",0.98688622,FALSE
"481","vol.APARC.ihcate~pt_m_INT", 4.214063e-02,0.04042193, 1.042519151,0.297783875,-0.037318877, 0.121600139,"vol.APARC.ihcate","pt_m_INT",0.98506877,FALSE
"482","vol.APARC.locc~pt_m_INT", 2.525249e-02,0.03470708, 0.727588841,0.467279581,-0.042973056, 0.093478029,"vol.APARC.locc","pt_m_INT",0.98506877,FALSE
"483","vol.APARC.lobfr~pt_m_INT", 1.910192e-02,0.03863001, 0.494483890,0.621228680,-0.056835123, 0.095038956,"vol.APARC.lobfr","pt_m_INT",0.98506877,FALSE
"484","vol.APARC.lingual~pt_m_INT",-6.898785e-02,0.04298119,-1.605070852,0.109246278,-0.153478242, 0.015502534,"vol.APARC.lingual","pt_m_INT",0.98506877,FALSE
"485","vol.APARC.mobfr~pt_m_INT",-3.130460e-03,0.03806289,-0.082244418,0.934492391,-0.077952681, 0.071691761,"vol.APARC.mobfr","pt_m_INT",0.98688622,FALSE
"486","vol.APARC.mdtm~pt_m_INT", 5.683650e-03,0.03556868, 0.159793697,0.873122089,-0.064235571, 0.075602871,"vol.APARC.mdtm","pt_m_INT",0.98688622,FALSE
"487","vol.APARC.parahpal~pt_m_INT",-4.756391e-02,0.03935341,-1.208635209,0.227497914,-0.124922974, 0.029795151,"vol.APARC.parahpal","pt_m_INT",0.98506877,FALSE
"488","vol.APARC.paracn~pt_m_INT",-5.166896e-02,0.03920818,-1.317810588,0.188301117,-0.128742547, 0.025404632,"vol.APARC.paracn","pt_m_INT",0.98506877,FALSE
"489","vol.APARC.parsopc~pt_m_INT", 2.097042e-02,0.03963326, 0.529111477,0.597013761,-0.056938781, 0.098879612,"vol.APARC.parsopc","pt_m_INT",0.98506877,FALSE
"490","vol.APARC.parsobis~pt_m_INT", 2.489636e-02,0.03880035, 0.641652971,0.521456211,-0.051375538, 0.101168264,"vol.APARC.parsobis","pt_m_INT",0.98506877,FALSE
"491","vol.APARC.parstgris~pt_m_INT", 5.703709e-02,0.04341517, 1.313759279,0.189660067,-0.028306407, 0.142380583,"vol.APARC.parstgris","pt_m_INT",0.98506877,FALSE
"492","vol.APARC.pericc~pt_m_INT",-2.928703e-02,0.04373801,-0.669601383,0.503487923,-0.115265144, 0.056691079,"vol.APARC.pericc","pt_m_INT",0.98506877,FALSE
"493","vol.APARC.postcn~pt_m_INT",-8.026546e-04,0.03966414,-0.020236280,0.983864707,-0.078772538, 0.077167229,"vol.APARC.postcn","pt_m_INT",0.98688622,FALSE
"494","vol.APARC.ptcate~pt_m_INT", 3.308177e-02,0.03802382, 0.870027703,0.384793101,-0.041663647, 0.107827196,"vol.APARC.ptcate","pt_m_INT",0.98506877,FALSE
"495","vol.APARC.precn~pt_m_INT",-1.315588e-02,0.03727523,-0.352938787,0.724315268,-0.086429765, 0.060118014,"vol.APARC.precn","pt_m_INT",0.98506877,FALSE
"496","vol.APARC.pc~pt_m_INT", 2.402274e-02,0.03771360, 0.636978218,0.524493661,-0.050112871, 0.098158356,"vol.APARC.pc","pt_m_INT",0.98506877,FALSE
"497","vol.APARC.rracate~pt_m_INT", 5.412275e-03,0.03396690, 0.159339671,0.873479539,-0.061358252, 0.072182802,"vol.APARC.rracate","pt_m_INT",0.98688622,FALSE
"498","vol.APARC.rrmdfr~pt_m_INT",-9.150432e-03,0.03620149,-0.252763953,0.800576992,-0.080313607, 0.062012744,"vol.APARC.rrmdfr","pt_m_INT",0.98688622,FALSE
"499","vol.APARC.sufr~pt_m_INT",-7.778229e-03,0.03310901,-0.234927850,0.814381732,-0.072862354, 0.057305897,"vol.APARC.sufr","pt_m_INT",0.98688622,FALSE
"500","vol.APARC.supl~pt_m_INT",-6.386965e-04,0.03883495,-0.016446436,0.986886215,-0.076978599, 0.075701206,"vol.APARC.supl","pt_m_INT",0.98688622,FALSE
"501","vol.APARC.sutm~pt_m_INT", 1.476728e-02,0.03515051, 0.420115692,0.674620482,-0.054329929, 0.083864491,"vol.APARC.sutm","pt_m_INT",0.98506877,FALSE
"502","vol.APARC.sm~pt_m_INT",-3.357462e-02,0.03616783,-0.928300633,0.353796488,-0.104671641, 0.037522394,"vol.APARC.sm","pt_m_INT",0.98506877,FALSE
"503","vol.APARC.frpole~pt_m_INT", 1.803985e-02,0.03996068, 0.451440065,0.651910524,-0.060512967, 0.096592674,"vol.APARC.frpole","pt_m_INT",0.98506877,FALSE
"504","vol.APARC.tmpole~pt_m_INT",-4.054729e-02,0.04090414,-0.991275808,0.322134148,-0.120954710, 0.039860139,"vol.APARC.tmpole","pt_m_INT",0.98506877,FALSE
"505","vol.APARC.trvtm~pt_m_INT",-3.593087e-02,0.04003607,-0.897462595,0.369997530,-0.114631874, 0.042770132,"vol.APARC.trvtm","pt_m_INT",0.98506877,FALSE
"506","vol.APARC.insula~pt_m_INT", 1.563113e-02,0.03911092, 0.399661556,0.689613423,-0.061251268, 0.092513532,"vol.APARC.insula","pt_m_INT",0.98506877,FALSE
